Transaction ID,Customer ID,Category,Item,Price Per Unit,Quantity,Total Spent,Payment Method,Location,Transaction Date,Discount Applied
TXN_1374421,CUST_22,Beverages,Tableet,139.5240673269954,error,379.93815823489234,Cash,Online,,False
TXN_8190019,CUST_13,,,169.33852901216247,6.0,unknown,,Online,2022-04-03,
TXN_4129646,CUST_25,Beverages,Item_8_BEV,-45.968096525289205,7.0,error,Cahs,In-store,2018-07-01,True
TXN_1266935,CUST_05,Misc,Tableet,32.0,1.0,-32.0,DEBIT,Online,2023-10-26,False
TXN_4534500,CUST3621,,Item_11_EHE,,57.0,$$$,,In-store,2024-12-21,
TXN_6631615,CUST_15,,,36.5,-3.0,340.79779906190373,N/A,,08.07.2022,False
TXN_4557580,CUST_25,Milk Products,PHON3,,-2.0,184.0,Digital Wallet,In-store,2023-06-20,True
TXN_5436979,CUST_21,,,15.5,7.0,N/A,Wiretransfer,In-store,2027-07-05,True
TXN_2945851,CUST_10,UNKNOWN,,,49.0,,Credit Card,In-store,1995-11-02,
TXN_9763067,CUST_18,,,N/A,N/A,unknown,Cash,In-store,2026-07-07,False
TXN_5418871,CUST_04,Computers and electric accessories,PHON3,,,error,Cash,In-store,16/03/2022,False
TXN_9508915,CUST_16,cat1,undefined,33.5,,436.08875467807707,,In-store,19/09/1997,
TXN_2773543,CUST_07,Furniture,,N/A,10.0,2594.376391961217,Cash,Online,2023-01-22,
TXN_1123421,CUST_25,Milk Products,Item_17_MILK,,8.0,923.741437396918,Wiretransfer,In-store,2022-02-08,
TXN_7297135,CUST_10,Beverages,item_x,256.92153581583165,error,,Credit Card,???,,False
TXN_4076284,CUST_05,Milk Products,undefined,15.5,,4760.324787546997,Creditt Card,Online,1999-06-08,
TXN_8796188,CUST_20,,Item_5_EHE,,7.0,77.0,Credit Card,In-store,2023-06-23,False
TXN_4426921,CUST_25,,undefined,215.58228251594852,10.0,170.0,,In-store,2023-03-27,
TXN_7166227,CUST_06,,item_x,5.0,39.0,,Cash,In-store,2000-05-16,True
TXN_8308325,,,,26.0,N/A,$$$,Digital Wallet,In-store,2023-08-22,
TXN_6354477,CUST_06,,Item_16_BUT,27.5,-7.0,165.0,Cash,Online,2024-08-26,False
TXN_7439699,CUST_05,,Item_11_PAT,error,43.0,$$$,Cash,Online,2010-11-05,True
TXN_6360517,CUST_16,Furniture,???,29.0,8.0,1190.5498821426618,Wiretransfer,Online,2023-08-11,True
TXN_6693770,CUST_04,Patisserie,PHON3,211.85353450184766,N/A,1642.0397258967034,???,Online,2024-06-03,True
TXN_1224026,,Food,Item_2_FOOD,6.5,10.0,132.3652061234661,Cash,In-store,2022-10-17,False
TXN_8210536,CUST_02,Butchers,Laptoppp,38.0,2.0,76.0,Cahs,In-store,2022-11-13,False
TXN_7627081,,cat1,Item_15_BEV,26.0,6.0,N/A,Cash,In-store,2022-03-12,
TXN_6283478,CUST_12,,item_x,unknown,unknown,88.0,Credit Card,Online,,N
TXN_7169895,2882,Food,PHON3,N/A,10.0,410.0,Digital Wallet,In-store,1994/08/25,
TXN_5856842,,,Item_11_FUR,20.0,27.0,1209.7443478822008,Credit Card,Loc_X,2022-12-04,
TXN_9279801,CUST_03,Furniture,,error,,,,,10-06-2005,
TXN_7054732,CUST_18,,Item_17_PAT,29.0,N/A,-232.0,Credit Card,In-store,,True
TXN_6928837,CUST_08,Electric household essentials,Item_5_EHE,-92.76792467923143,8.0,4622.692575863587,Cash,Online,01-24-1990,
TXN_5442881,CUST_16,???,Tableet,,N/A,174.0,Credit Card,Online,01-16-2022,True
TXN_8083639,C-8956,undefined,,unknown,error,$$$,,Online,2023-08-03,
TXN_2734987,CUST_21,undefined,Item_15_EHE,,-1.0,-78.0,DEBIT,In-store,,False
TXN_9728486,CUST_23,???,,27.5,1.0,97.47510162917185,,In-store,2023-04-26,False
TXN_5405889,CUST3724,Patisserie,,,1.0,-14.0,,Online,2023-01-08,
TXN_8983531,CUST_16,,Item_5_FUR,11.0,unknown,1172.0761368116964,undefined,In-store,,True
TXN_4058390,CUST_10,,Item_18_CEA,-30.5,8.0,,Digital Wallet,???,14/12/2026,False
,CUST_02,Computers and electric accessories,N/A,14.0,1.0,14.0,,N/A,,
TXN_9616213,CUST_23,Furniture,Item_24_FUR,,unknown,error,Credit Card,Online,25/09/2027,True
TXN_3766991,CUST_21,Other,Item_15_EHE,$$$,57.0,unknown,,Online,24-09-2023,True
TXN_5171621,CUST_12,Computers and electric accessories,Item_3_CEA,-8.0,error,unknown,Creditt Card,Online,01/01/2023,True
TXN_4884748,CUST7209,,Item_15_BUT,26.0,error,234.0,Credit Card,In-store,2028-02-07,
TXN_8742206,CUST_18,Food,N/A,146.45683193149088,-7.0,$$$,???,Online,2023-09-08,False
TXN_9888917,CUST_05,Patisserie,Laptoppp,$$$,42.0,$$$,Digital Wallet,In-store,,False
TXN_5472933,CUST_10,,Item_19_MILK,N/A,unknown,-288.0,undefined,N/A,,False
TXN_1017087,CUST_06,,Item_10_PAT,,,-259.43320602138164,Credit Card,In-store,2023-05-22,
TXN_7045491,CUST_17,Beverages,Item_14_BEV,24.5,error,,Cash,???,09-14-2024,True
TXN_6123067,CUST_09,Beverages,undefined,-21.5,59.0,,Cash,Online,2024-11-30,
TXN_3047391,CUST_20,Misc,Item_14_BEV,-24.5,-7.0,171.5,,In-store,2024/01/07,False
TXN_8487509,CUST_03,undefined,,N/A,42.0,N/A,,Online,1994-10-27,False
TXN_3576295,CUST_01,,Laptoppp,unknown,7.0,1229.962389459275,N/A,In-store,2005-11-21,False
TXN_3487125,CUST_09,Butchers,Item_2_BUT,-6.5,-4.0,129.9089100860673,Digital Wallet,,2001-02-10,True
TXN_1720595,CUST_23,CAT_X,Item_17_PAT,29.0,4.0,-116.0,Digital Wallet,,2023-03-11,False
TXN_1514117,CUST_22,UNKNOWN,,23.0,3.0,69.0,,Online,2022-12-08,1
TXN_9032264,CUST_10,,PHON3,-26.0,6.0,570.2023565744458,Credit Card,Online,,
TXN_5179274,CUST_11,,Item_15_EHE,error,error,N/A,Digital Wallet,???,,
TXN_3224536,CUST_18,Milk Products,undefined,20.0,,,Digital Wallet,Online,2022-05-10,False
TXN_3342497,CUST_18,,Item_9_PAT,N/A,unknown,error,Credit Card,In-store,1991-11-03,
TXN_5006011,CUST_10,Butchers,,unknown,,280.0,,In-store,,
TXN_4408493,CUST_20,Other,,23.0,error,$$$,Creditt Card,In-store,2023-01-10,True
TXN_1236974,CUST_01,Beverages,PHON3,,unknown,196.134239109656,Cash,Online,2023-04-21,False
TXN_7403426,CUST_17,Patisserie,Item_17_PAT,,unknown,1480.3541154441477,Cahs,Online,2023-12-21,
TXN_2444942,CUST_09,Misc,,unknown,unknown,1367.3754312077028,Digital Wallet,Online,2018-02-14,False
TXN_4469536,CUST_11,,Item_25_FUR,243.55920437119207,43.0,1486.8987365326475,,In-store,1994-06-05,True
TXN_2899427,CUST_14,Butchers,,20.0,error,N/A,Creditt Card,In-store,2013-04-09,
TXN_5525894,CUST_18,Food,,,,unknown,DEBIT,In-store,11-07-2024,False
TXN_6562987,CUST_20,Computers and electric accessories,PHON3,-9.563803217710912,,86.0,,In-store,2026-04-26,True
,CUST_11,Beverages,,$$$,-1.0,unknown,Wiretransfer,In-store,2014-06-22,False
TXN_1028025,CUST_05,Milk Products,,20.0,,100.0,,Online,,False
,CUST_06,Food,UNKNOWN,$$$,-7.0,N/A,,Online,2027-07-13,False
,CUST_17,,Item_9_CEA,-17.0,,,Cash,In-store,,False
TXN_9312667,CUST_14,Misc,Item_14_MILK,-35.27767043704237,,337.41154238914464,Cahs,In-store,2022-01-27,True
TXN_3675657,CUST_17,undefined,Item_20_MILK,33.5,8.0,N/A,Digital Wallet,,1997-09-01,False
TXN_4429872,CUST_03,Butchers,,-3.8533022441853673,10.0,$$$,Credit Card,In-store,2024-01-27,True
TXN_2377286,CUST_04,UNKNOWN,N/A,,3.0,784.688881527482,???,Online,,False
TXN_9066614,CUST_18,,Item_13_CEA,-58.09930793079289,42.0,N/A,Cash,In-store,01/01/2023,True
TXN_5203845,CUST_16,undefined,,N/A,-7.0,,paypal,Online,,
TXN_6870623,CUST_05,Furniture,,35.0,4.0,-259.31721157532144,,In-store,,
TXN_2602423,CUST_09,Beverages,PHON3,29.0,8.0,,Digital Wallet,Online,2023-07-13,True
TXN_7900727,CUST_07,,Item_23_BEV,38.0,unknown,-445.6068723702795,,Online,03.07.2023,False
TXN_5544368,,Beverages,Item_2_BEV,,4.0,$$$,,Online,1998-08-06,
TXN_6186500,CUST_21,???,???,36.5,9.0,328.5,Cash,Online,2023-07-04,False
TXN_4581110,CUST_25,Food,Tableet,36.5,-9.0,328.5,N/A,Online,02-09-2014,False
TXN_1882040,CUST_21,undefined,PHON3,234.60048949888494,7.0,523.9145320799307,Cash,Online,2004-09-03,False
TXN_8044037,CUST_12,,Item_3_MILK,-8.0,41.0,1386.4000947286963,N/A,In-store,,False
TXN_4318867,CUST_09,,,N/A,,117.86860245547332,Digital Wallet,In-store,,True
TXN_8351890,CUST_15,Computers and electric accessories,Item_11_CEA,$$$,error,118.39112689740674,Cahs,In-store,,False
TXN_4704137,C-6654,Other,Item_6_FOOD,12.5,unknown,75.0,Credit Card,In-store,2024-07-13,False
TXN_2098200,CUST_18,Computers and electric accessories,Tableet,14.0,unknown,,Cash,Online,2022-11-13,
TXN_2456117,CUST_13,,,24.5,49.0,122.5,Digital Wallet,Online,,
TXN_3646702,CUST_01,,Item_2_CEA,$$$,,13.0,Credit Card,,2022-11-16,
TXN_9150818,CUST_22,Beverages,,41.0,9.0,369.0,,In-store,,True
TXN_3302248,,cat1,Item_10_EHE,188.75565411763466,3.0,55.5,Credit Card,Online,2024-01-04,False
TXN_6745168,CUST_01,undefined,Item_8_BUT,unknown,unknown,1708.103922682048,Digital Wallet,In-store,,True
TXN_1489200,CUST_12,Furniture,Item_10_FUR,$$$,-3.0,,Credit Card,In-store,,
TXN_4651759,,Food,Item_17_FOOD,29.0,unknown,error,Credit Card,In-store,2027-08-31,False
TXN_5657839,CUST_24,UNKNOWN,,,,197.5,,Online,01/01/2023,
,CUST_01,Butchers,UNKNOWN,,4.0,error,Credit Card,In-store,2026-11-12,
TXN_5540233,CUST_09,Electric household essentials,Item_4_EHE,unknown,,223.93755570205462,Credit Card,Online,02.11.2024,
TXN_6677921,CUST_01,Electric household essentials,Item_5_EHE,11.0,8.0,5231.21445374773,paypal,Online,2024-12-07,False
TXN_2218629,CUST3444,Computers and electric accessories,,,,-307.72630204160157,Credit Card,Online,2022-03-21,False
TXN_8177929,CUST_12,,,,-2.0,,Credit Card,Online,2022-06-12,True
,CUST_05,Other,Item_20_FUR,-33.5,7.0,371.2576977831225,DEBIT,Online,2022-07-09,
TXN_1118935,CUST_08,N/A,,15.5,,108.5,,Online,2022-06-20,
TXN_6756069,CUST_16,Beverages,,24.5,,196.0,Cash,Online,2022-07-16,
TXN_8244764,,Computers and electric accessories,Item_13_CEA,unknown,5.0,1529.6531034468085,Digital Wallet,N/A,01/01/2023,
TXN_8293840,CUST_07,CAT_X,,,,100.5,Cash,Online,2022-01-31,
TXN_5254886,CUST_22,,Item_20_BEV,135.5076739844299,10.0,-335.0,Cahs,Online,,True
TXN_4347202,CUST_16,,Item_11_MILK,-20.0,error,N/A,undefined,Online,2027-08-11,True
TXN_8359203,CUST_11,Electric household essentials,UNKNOWN,unknown,50.0,N/A,Credit Card,In-store,2023-10-30,
TXN_5992182,CUST_24,Milk Products,Item_7_MILK,,4.0,56.0,Credit Card,In-store,23.12.2022,
TXN_7852936,CUST_01,Patisserie,Item_6_PAT,12.5,,62.5,,In-store,2028-01-23,False
TXN_6086093,CUST_19,Beverages,,,7.0,-313.09102785776327,???,Online,2028-01-28,
TXN_7943662,CUST_08,Beverages,,240.82749101661375,-8.0,328.0,N/A,Online,06-20-2024,True
TXN_4845720,CUST_10,Patisserie,,-21.5,5.0,107.5,DEBIT,In-store,,0
TXN_7352034,CUST_09,Computers and electric accessories,item_x,-14.0,-7.0,-98.0,,Online,2023-06-12,False
TXN_1591772,CUST_18,Other,Item_13_CEA,215.62080487036457,error,,Cash,In-store,2015-10-13,True
